FNAME,LNAME,GENDER,TELNO,BIRTHDATE,IDNUMBER,CITY,TOWN
DİLAN,ADANIR,F,5424014738,1985-09-21,76858370269,ORDU,ÇAMAS
DİCLE,KAYACAN,F,5434837286,1956-02-07,59921359476,KIRKLARELI,VIZE
CANEL,BARBAROS,F,5368198077,1941-03-11,72994299635,KOCAELI,BASISKELE
SERVER,ÖZGÜROL,M,5538633026,1977-09-10,23092652805,SAMSUN,CANIK
ÖKTEM,KARADAĞ GEÇGEL,M,5471224177,1945-01-14,27588486884,KONYA,ILGIN
ZİYAD,KARACAN,M,5547330810,1977-07-03,38388894356,SIVAS,ZARA
EKİN,BEDER,F,5457765724,1954-04-07,11361339626,ANTALYA,MANAVGAT
KIYMET,KARAOĞLU,F,5544517200,1979-07-13,62653672315,ERZURUM,ISPIR
SİMGE,ÖZEKLİ MISIRLIOĞLU,F,5345290245,1999-08-17,37955631839,MARDIN,SAVUR
DİLBERAY,CANDAN,F,5302495416,1999-10-30,72686640703,DIYARBAKIR,HANI
NÜKHET,CEYLAN,F,5391476879,1942-06-06,73268842315,KASTAMONU,ÇATALZEYTIN
MUTTALİB,KANYILMAZ,M,5320922470,1979-04-16,30041192636,AGRI,ELESKIRT
BEŞER,SÜL,M,5531410705,1942-03-23,58183889177,RIZE,IKIZDERE
DANİŞ,YALNIZ,M,5404836421,1982-07-21,82552853004,ISPARTA,GÖLBASI
HÜDAVENDİGAR,MESCİ HAFTACI,M,5318858507,1998-09-15,67775336478,ERZINCAN,TERCAN
İMADEDDİN,DESTEGÜL,M,5515681084,2012-06-16,54843513296,ESKISEHIR,ODUNPAZARI
MECNUN,AYDIN,M,5422057125,1946-04-14,15759415519,GAZIANTEP,NURDAGI
İREM,ENGİZ,F,5543037653,1931-03-26,87177788055,KIRIKKALE,BALISEYH
NECLA,BUĞRUL,F,5462759001,2019-10-30,19763552740,ISPARTA,GÖLBASI
DEFNE,DEĞİRMENCİ,F,5344920103,1967-02-04,15350681147,KÜTAHYA,ASLANAPA
DANA,ÖVEN USTAALİOĞLU,M,5366836662,2019-07-19,79875476067,MUGLA,YATAGAN
GÜL,TUTAŞ,F,5318602176,1932-12-18,53774111144,MALATYA,ARGUVAN
EFKEN,ÖĞÜTMEN KOÇ,M,5466034671,1992-02-25,31232813238,ISTANBUL,BEYKOZ
İLKSEN,DEMİRTAŞ,F,5571406354,1935-08-19,14981777692,ÇANKIRI,BAYRAMÖREN
ZİVER,GÖRKEM,M,5537178767,1963-04-07,23504447226,SIVAS,MERKEZ
ÇAĞLA,KAYA,F,5415917402,1975-10-31,77744227520,MALATYA,ARGUVAN
ARYA,IŞIK,F,5498989078,1989-12-13,52762689124,IZMIR,NARLIDERE
REŞAT,ÖZER ÇELİK,M,5340505969,1970-08-31,59890119132,ANKARA,ETIMESGUT
ALPEREN,YAKAR,M,5420330304,1941-07-14,21218783404,ANKARA,YENIMAHALLE
GİRAY,MERDEN,M,5495004593,2001-09-10,16665951902,AFYONKARAHISAR,HOCALAR
PETEK,YILMAZ,F,5329437028,2012-05-04,27688625155,SAMSUN,BAFRA
ANDAÇ,YAVUZ,F,5518895284,1972-03-05,78524508687,KAHRAMANMARAS,NURHAK
CANSEL,TURGUT,F,5563177797,1969-04-18,28222852589,BITLIS,MERKEZ
DAMLA,KARABAĞ,F,5455206073,1969-08-25,23562342466,ÇANAKKALE,BIGA
NİL,ABSEYİ,F,5431998335,1940-01-02,59541288494,ERZINCAN,OTLUKBELI
İNAYETULLAH,KARÇİN,M,5447354895,2001-05-18,55764349543,ESKISEHIR,SEYITGAZI
LİDA,ATAY,F,5580846915,2016-12-10,72547314207,IGDIR,TUZLUCA
BEHZAT,YILDIRIM,M,5449328342,1966-12-20,13911285655,RIZE,MERKEZ
EKMEL,CAMCI,M,5411703506,2014-09-21,58006297050,ORDU,MERKEZ
BEKTAŞ,ÇELİK,M,5473298599,1947-07-10,17806007175,ANTALYA,ELMALI
CANSIN,ŞEN TANRIKULU,F,5585368271,1940-04-05,59624785371,ÇANKIRI,KORGUN
ŞEVKET,GÜNGÖR,M,5492551996,1985-01-04,55896008702,ORDU,FATSA
NİZAM,TUNCAY,M,5546083424,1980-03-21,21032312220,ISPARTA,SÜTÇÜLER
MERT,GENÇPINAR,M,5554284801,1931-12-02,42476768244,ADANA,KARAISALI
HÜNER,BATÇIK,F,5302737705,1983-06-26,16255861821,KÜTAHYA,EMET
KİRAM,ÖZDEMİR,M,5300558562,1983-05-15,50933506935,YALOVA,ÇIFTLIKKÖY
CİHANGİR,ÖZÇELİK,M,5472841207,2018-12-02,12410977498,ADANA,CEYHAN
RABİA,NASIROĞLU,F,5315013361,2018-12-18,45206761727,AMASYA,MERZIFON
ÜMMİYE,BULUT,F,5355801368,2010-08-01,47775471915,OSMANIYE,TOPRAKKALE
EFKEN,ÖĞÜTMEN KOÇ,M,5391926487,1954-02-16,89725250582,ANKARA,GÖLBASI
MUTLU,KÜTÜK,M,5347815666,2019-04-03,32870074122,ELAZIG,ARICAK
MUHYİDDİN,KAYA,M,5396227017,2013-03-31,37137770639,AYDIN,MERKEZ
MUAMMER,BAYRAKTAR,M,5438069756,1978-09-23,68120849123,TRABZON,HAYRAT
CEZMİ,DAM,M,5461542134,1986-12-07,66740436561,YOZGAT,SORGUN
ÖKTEM,KARADAĞ GEÇGEL,M,5351335009,1970-01-09,62701479769,ISPARTA,KEÇIBORLU
CABİR,ARSLAN,M,5369286126,1999-10-15,69622216710,YALOVA,ÇIFTLIKKÖY
CİHANGİR,ÖZÇELİK,M,5481451356,1949-11-15,64686842333,SANLIURFA,CEYLANPINAR
SONER,SARIKAYA,M,5409342800,2002-07-04,87437881519,ÇANKIRI,KURSUNLU
ADEL,TÜTEN,F,5588518595,1956-06-09,51339651063,ÇORUM,MECITÖZÜ
MEMUN,TUNÇAY,M,5333200744,1986-08-03,15041720236,ISTANBUL,KADIKÖY
TAYYAR,USLUSOY,M,5308736731,2011-05-12,61420713461,YALOVA,ÇINARCIK
MERYEM,USTA GÜÇ,F,5367634753,1997-10-20,75189410281,GAZIANTEP,SEHITKAMIL
HALDUN,TAYYAR,M,5401685455,1983-07-02,46897318712,ANTALYA,AKSEKI
NİHAN,KAYA,F,5381367024,1966-09-15,76555868846,ANTALYA,DEMRE
ÖZLEM,ÜNSAL,F,5331391847,2012-12-15,65165789001,BOLU,YENIÇAGA
ARIN,ÇAY,F,5542945136,2010-09-13,68941283931,KAYSERI,KOCASINAN
BERA,BOZARSLAN,M,5582150941,2011-12-22,66085247496,DIYARBAKIR,BISMIL
HAKEM,BOLAT,M,5415684530,1964-09-09,80645656873,ADANA,TUFANBEYLI
ÇIGIL,ŞELİMAN,F,5506178489,1953-06-26,24570068198,ERZURUM,TEKMAN
KAMELYA,ULUTAŞ,F,5562498557,2019-06-26,22164032933,TEKIRDAG,GÖLBASI
BAĞDAGÜL,EROĞLU,F,5324764608,2020-10-08,84967206604,ORDU,KUMRU
BİLAL,TARKAN,M,5518448158,1984-10-14,54817293632,GIRESUN,BULANCAK
YAVUZ,SERT,M,5391390478,1961-12-27,21888430632,KAHRAMANMARAS,EKINÖZÜ
TÜNAY,AŞIK,F,5497823036,2017-08-11,89203604029,GIRESUN,DOGANKENT
FATİH,İNER KÖKSAL,M,5359940623,1979-07-01,47723941950,DENIZLI,BAKLAN
NURSELİ,BUDUNOĞLU,F,5546077484,1943-11-18,25226133107,ARDAHAN,GÖLE
NÜKHET,CEYLAN,F,5468315021,1967-10-21,87582969371,BURSA,NILÜFER
TAMER,KIR,M,5441093218,1978-06-14,37899606353,SAMSUN,GÖLBASI
SELAMİ,AKYOL,M,5541447258,1962-06-13,55241978358,MALATYA,AKÇADAG
HANDAN,GÜLER,F,5440372553,1992-12-11,38037790558,ÇANAKKALE,GÖLBASI
NEVİN,KARA,F,5525367255,2023-06-10,54533923265,MERSIN,ANAMUR
ŞEVKET,GÜNGÖR,M,5479650332,1952-08-23,48667112613,KARABÜK,GÖLBASI
MISRA,AYDINER,F,5422138166,1987-04-04,74616416449,ÇANKIRI,ILGAZ
BEHRAM,GÖLEMEZ,M,5522752934,2001-07-16,20709559052,NIGDE,MERKEZ
FERİHA,BABUŞ,F,5300690742,1936-08-14,88296920850,SINOP,GERZE
NECLA,BUĞRUL,F,5556851553,1955-05-27,63354693721,IZMIR,BUCA
EMEL,AKCAN ATASOY,F,5475357554,1947-11-01,58587379232,ARTVIN,ARDANUÇ
GÜHER,ARKAN,F,5362800007,2015-06-21,55872185469,KIRIKKALE,KESKIN
ZÜBEYR,TEN,M,5448896166,2010-09-25,63037302144,BURSA,ORHANGAZI
RAMAZAN,OCAK,M,5324787464,1950-02-22,86533945495,KÜTAHYA,DUMLUPINAR
DİDEM,PİŞİRGEN,F,5398628435,1997-09-29,64238605417,ÇANAKKALE,ÇAN
ALMİLA,ASLAN,F,5325761882,2002-04-21,50943728875,MUGLA,BODRUM
ANDAÇ,YAVUZ,F,5396307735,1962-05-26,14918625012,KIRKLARELI,LÜLEBURGAZ
ŞARANİ,TEPE,M,5349260836,1960-03-09,81629884150,ORDU,MERKEZ
AHENK,ERTEKİN,F,5356875195,1977-06-13,64614775244,IZMIR,ALIAGA
MUTEMED,GÜRDAL,M,5534844883,2001-11-27,77066227511,TRABZON,OF
İLKBEN,GİDER,F,5497411685,1945-05-23,59844243836,KÜTAHYA,ÇAVDARHISAR
FÜREYYA,KUTLUCAN BAĞCI,F,5381443160,1991-05-06,16779887586,ÇANAKKALE,ÇAN
HÜMAYUN,VURAL,M,5363538467,1945-11-22,82009552901,BILECIK,OSMANELI
LEVNİ,KHALİL,M,5521323030,1962-05-04,68468393600,ESKISEHIR,ALPU
YAPRAK,TALAN,F,5356455495,1950-07-07,89327653378,SINOP,SARAYDÜZÜ
AÇELA,KANDEMİR,F,5529897458,2001-12-24,23922418068,BALIKESIR,IVRINDI
CEMALİ,AYVAZ,M,5394489998,1938-08-06,64444708425,ISTANBUL,SANCAKTEPE
TALHA,ÇEPNİ,M,5551867676,2008-07-06,74439153187,AFYONKARAHISAR,ÇOBANLAR
PETEK,YILMAZ,F,5445895106,1961-08-03,70880518172,KOCAELI,GÖLCÜK
GÜRCAN,KÖKSOY,F,5562860912,1945-02-02,58510183876,MERSIN,AKDENIZ
FAHRÜNİSSA,URFALI,F,5368674253,1988-07-21,83958316629,DÜZCE,ÇILIMLI
CEYDA,TEKİN,F,5453002129,1968-03-24,89012710338,USAK,KARAHALLI
MUTAHHAR,DUMAN,M,5493954692,1954-12-01,31791267898,KILIS,MUSABEYLI
GÜNAY,AKYOL,F,5533272229,1947-12-29,85138126816,ÇORUM,ISKILIP
SERTAÇ,KARSLI,M,5513502935,2012-06-20,58437445535,NIGDE,ÇIFTLIK
HAZAN,KARADEMİR,F,5308831575,1971-12-31,33659519850,SANLIURFA,VIRANSEHIR
ŞİNASİ,ÇAVDAR,M,5484292746,1948-09-20,10533037884,OSMANIYE,TOPRAKKALE
ADEL,TÜTEN,F,5516662635,1978-04-07,58345967482,KONYA,KULU
FAZLULLAH,ELBÜKEN,M,5437776801,2021-12-05,32075072244,BOLU,YENIÇAGA
VEDAT,KOÇAR,M,5526939109,2000-05-06,82052692419,KAYSERI,GÖLBASI
SİRACEDDİN,TOPRAK,M,5541965111,1933-07-25,67221908302,TOKAT,ARTOVA
ŞİHABEDDİN,KARATOPRAK,M,5414051208,1990-07-29,75472792423,GÜMÜSHANE,KELKIT
YELİZ,UYGUR,F,5421807754,1982-10-23,58154515366,ORDU,GÜLYALI
ALTEMUR,TARLAN,M,5533785247,1987-10-10,87235012155,ISTANBUL,EYÜP
ALTIN,ABACIOĞLU,F,5573102557,2019-09-20,15131698111,DENIZLI,TAVAS
BEŞER,SÜL,M,5487238499,1944-12-14,58329918008,BILECIK,PAZARYERI
YONCA,AYIK,F,5576214145,1978-12-03,23821420886,ÇANAKKALE,BOZCAADA
AYKUT,DİLEK,M,5468999396,1962-04-10,26393346969,IZMIR,KARSIYAKA
TÜLİN,ŞENGÜL,F,5359483510,1961-04-20,15921303832,KONYA,TUZLUKÇU
SAMAN,TAŞKIRAN,M,5448124405,2015-09-23,86998622261,KILIS,MERKEZ
NURAN,TAYFUN,F,5497623444,1981-10-07,55737372109,ESKISEHIR,GÜNYÜZÜ
İŞIN,HEPKAYA,F,5349617411,2010-09-16,47964556798,KÜTAHYA,DUMLUPINAR
CEMALİ,AYVAZ,M,5397877622,1934-05-05,60134517971,OSMANIYE,TOPRAKKALE
ŞEREF,GÜRER,M,5441111066,1981-04-22,58220074472,ANTALYA,KAS
DÖNDÜ,ERDOĞAN,F,5324635006,1962-10-21,45478077526,KARAMAN,KAZIMKARABEKIR
ŞEHRAZAT,SARAL,F,5526339915,1938-11-06,73693430926,IZMIR,SELÇUK
SEVTAP,SARP,F,5517284410,1964-05-15,58905659241,MERSIN,YENISEHIR
TURAN,MERTOL,M,5545852947,2004-11-02,33706277941,SAMSUN,TERME
ENİSE,CÖMERT,F,5473892519,1999-10-28,29876387267,IZMIR,KINIK
ZEKAİ,ÖZAN SANHAL,M,5347789603,1983-06-30,12588575957,TOKAT,ERBAA
MÜGE,SARİ,F,5506777011,1946-12-30,68598907641,TRABZON,AKÇAABAT
FERHAN,YÜCETÜRK,M,5317555215,2015-07-16,51569365440,MANISA,SALIHLI
NESİMİ,YILDIZ,M,5345774027,1986-01-22,32778433170,MUS,VARTO
ZEHRA,KARAMANLI,F,5339861588,1983-12-11,51493681948,BURSA,MUDANYA
MELİKE,GÜVENÇ,F,5490048242,1999-04-21,31273772081,AYDIN,SULTANHISAR
LEVNİ,KHALİL,M,5461009558,1999-03-16,75762047154,ANTALYA,ELMALI
YELDA,KÖYCÜ,F,5356011203,1955-01-15,65117673422,IZMIR,ALIAGA
HANZADE,SİĞA,F,5511525763,2020-07-29,42918163953,BALIKESIR,MERKEZ
SEREN,ÇIRAKOĞLU,F,5510998177,1974-01-02,82300520122,ADANA,CEYHAN
HALE,TÖNGE,F,5472174664,1945-11-20,12967521090,KONYA,HÜYÜK
İNAYETULLAH,KARÇİN,M,5479656089,1953-06-09,54947975149,AMASYA,MERZIFON
AŞKIN,KURT,M,5570497013,1959-11-24,45081660315,IZMIR,MENEMEN
ECEM,KİŞİ,F,5413423139,2013-05-01,35663915799,ARDAHAN,GÖLE
ŞİNASİ,ÇAVDAR,M,5300278995,1954-10-24,52920968815,BINGÖL,KIGI
SİMGE,ÖZEKLİ MISIRLIOĞLU,F,5398283462,1940-03-19,27918951723,ADANA,KARATAS
SEMRA,EVİK,F,5443424521,1930-09-28,30329321577,MUS,BULANIK
ECEM,KİŞİ,F,5451990506,1977-08-07,48114897535,ERZURUM,ÇAT
SEDEF,ALKURT KAYIKÇI,F,5488785538,2008-12-18,13174567092,ZONGULDAK,GÖLBASI
MUKADDES,EKİCİ,F,5318376384,1935-06-03,78025253736,MERSIN,BOZYAZI
SEDAT,HATİPOĞLU,M,5573897057,2005-09-28,82292841668,IZMIR,URLA
ŞEVKİ,GÜZEL,M,5324085465,1973-01-22,38759682139,ELAZIG,ALACAKAYA
YAHYA,ASLAN,M,5343695471,1995-06-13,13838453221,KONYA,GÖLBASI
ŞEREF,GÜRER,M,5393620486,1967-02-01,66411801809,KAYSERI,FELAHIYE
MÜESSER,YILMAZ ÇİFTDOĞAN,F,5581700471,2001-03-25,71953727517,BOLU,GÖYNÜK
REŞİD,ÇAKIR,M,5574864288,1938-08-06,35396743696,RIZE,KALKANDERE
AVŞAR,GÜNAY,M,5384073698,2021-01-15,88098089333,KAYSERI,MELIKGAZI
FERAY,YADİGAROĞLU,F,5572436523,1967-08-05,46615419995,SAKARYA,ADAPAZARI
ŞİHAB,ÖZDAMAR,M,5597420083,1989-04-25,27625422428,AKSARAY,SARIYAHSI
ANİSE,KULAÇ,F,5578027782,1991-06-30,76740659379,ELAZIG,AGIN
SEDEF,ALKURT KAYIKÇI,F,5554550190,1949-03-20,37922900502,BINGÖL,MERKEZ
RAMİZ,BÖLÜK,M,5334596274,1995-04-21,83339376303,AYDIN,ÇINE
YELİZ,UYGUR,F,5362534341,1943-12-09,31951330360,BINGÖL,YEDISU
HAŞİM,IŞIKALAN,M,5376053310,2016-06-26,78210776319,KAHRAMANMARAS,ÇAGLAYANCERIT
NERGİS,BÜKÜLMEZ,F,5511745935,1969-08-17,46403080072,KOCAELI,GEBZE
TUTKU,EKİZ,F,5360825136,1956-08-29,71220861876,DÜZCE,MERKEZ
ÖZNUR,CİNDEMİR,F,5511196392,1939-09-09,66127216006,ISTANBUL,BASAKSEHIR
ÇEŞMİNAZ,ÖNER,F,5510451920,1963-10-04,43719482169,TUNCELI,PÜLÜMÜR
İLAYDA,KILIÇ YILDIRIM,F,5540603406,1999-05-08,58994444014,ORDU,ÜNYE
ALİŞAN,GÜL,M,5405619680,1943-06-28,60278782925,KIRIKKALE,KESKIN
ZEYD,BAKAN,M,5584675769,1964-04-04,10935465587,ANTALYA,IBRADI
SERTAÇ,KARSLI,M,5370617700,1952-12-23,47291062079,MALATYA,BATTALGAZI
DESTAN,DOĞAN,F,5492421746,2007-02-03,44433786025,ANKARA,SEREFLIKOÇHISAR
HADİSE,ARSLAN,F,5361511550,1979-02-26,79346165773,ISTANBUL,ZEYTINBURNU
İDİL,KULAK GEDİK,F,5354797428,1942-11-28,73301002721,AFYONKARAHISAR,EVCILER
KADE,ARSLAN,F,5558516675,1935-09-20,68327766028,KASTAMONU,TASKÖPRÜ
GONCA,TÜFEKÇİ,F,5329991520,1937-06-18,51095732601,ÇORUM,MERKEZ
RIZA,ŞAİR,M,5470636212,1983-08-26,24884552131,ANTALYA,KONYAALTI
CABİR,ARSLAN,M,5339014169,1953-06-19,57036984201,IGDIR,ARALIK
AYKAL,TAHTACI,F,5324018441,1984-11-13,89369036939,SIRNAK,BEYTÜSSEBAP
TURGUT,ŞEN GÖKÇEİMAM,M,5475530316,1955-12-22,56857237707,TOKAT,MERKEZ
CÜNEYT,ALTUN,M,5325906987,1984-12-21,43095474549,OSMANIYE,HASANBEYLI
RAMAZAN,OCAK,M,5481150429,1996-12-12,70502809514,KONYA,KADINHANI
MUSTAFA,YÜCEL,M,5412901776,1954-08-01,15680721718,SIVAS,KOYULHISAR
MAZHAR,GÖKALP,M,5350097121,1934-12-25,42547477934,ANTALYA,FINIKE
MERAL,YANNİ,F,5531986342,2015-08-12,52063540250,BURDUR,TEFENNI
ŞİR,KARA,M,5473391751,2003-03-02,16317923674,AYDIN,SÖKE
SILA,KÖSE,F,5497981618,1979-04-08,82536015316,IZMIR,TORBALI
VAKKAS,DEMİREL,M,5405049057,1984-12-28,42953727407,KARAMAN,KAZIMKARABEKIR
NİHAL,KIZILTEPE,F,5420809732,1944-07-06,18168597394,KONYA,ILGIN
SAFA,AYKAN,M,5435858684,1954-05-29,41833148783,KASTAMONU,KÜRE
DİLARA,KOÇ,F,5394004791,1951-04-26,13737082762,ERZINCAN,MERKEZ
MÜBAREK,ÖZBEK,M,5446580087,1956-06-08,22790472767,YALOVA,ÇIFTLIKKÖY
REŞİD,ÇAKIR,M,5398702148,1988-04-10,82944264977,BOLU,YENIÇAGA
MUTTALİB,KANYILMAZ,M,5323579391,2011-02-23,48700658107,MERSIN,GÜLNAR
TAYFUR,EVRENOS,M,5501978483,1978-12-23,72021413313,BURSA,IZNIK
ZEYNEP,YURTLU,F,5512002969,1975-12-28,63373910227,MANISA,GÖLBASI
HASEKİ,ŞAHİN,M,5317666019,1956-11-23,50969559244,ANKARA,POLATLI
KAZIM,CELTEMEN,M,5429942832,1988-12-30,18507138890,ORDU,ÇAMAS
DİCLEHAN,GÜLEN AKKÜÇÜK,F,5469880340,2000-06-19,73533508581,ERZURUM,YAKUTIYE
HALUK,OLGAÇ,M,5480119248,1961-02-09,41990593982,BITLIS,GÜROYMAK
FEHİME,KİREÇÇİ,F,5579002253,1986-10-12,37624802553,MERSIN,TARSUS
DOLUNAY,GÜLEN,F,5338523108,1960-07-05,19639172715,BINGÖL,SOLHAN
BEDİR,AVCIOĞLU,M,5392722912,1976-09-22,18042204564,ÇORUM,UGURLUDAG
KEMAL,ŞANLIKAN,M,5376824597,1954-05-09,13349122863,ISTANBUL,PENDIK
EVŞEN,AYTAÇ,F,5517318641,1947-05-14,50382255558,BURSA,MUSTAFAKEMALPASA
FUZULİ,TEKİŞ,M,5502392958,1950-11-10,48385676357,IZMIR,BUCA
ÜLKÜ,METİNEREN,F,5313256571,1944-04-21,71447600635,ISTANBUL,FATIH
AÇELA,KANDEMİR,F,5350307612,1936-02-02,26752927465,ARTVIN,MERKEZ
İLKBEN,GİDER,F,5517450565,1953-10-01,41388036521,ARDAHAN,POSOF
HAMZA,MALÇOK,M,5426829561,1932-03-29,12579792540,SAMSUN,KAVAK
BEHREM,AYHAN,F,5531812070,1945-11-12,59358228556,KILIS,MUSABEYLI
HÜSREV,ÖZDEMİR,M,5315253265,2017-10-03,70903710638,TOKAT,ZILE
HAYDAR,KARAGÖZ,M,5589803538,2016-12-30,35616715107,SAMSUN,ILKADIM
GÖKÇE,YARAR,F,5595781851,1940-11-18,14831849817,ANKARA,ELMADAG
NECATİ,KIRASLAN,M,5349854873,1975-08-30,27715727290,ÇORUM,GÖLBASI
ALTEMUR,TARLAN,M,5525293481,2004-01-11,59153188882,ANTALYA,KORKUTELI
HAYAT,BİÇER,F,5328812311,1971-11-03,63335742979,KIRIKKALE,BAHSILI
FÜREYYA,KUTLUCAN BAĞCI,F,5496668901,1972-08-21,43385151819,MALATYA,YAZIHAN
ŞEMSEDDİN,CANBAZ,M,5447631148,1974-11-11,86325792462,BAYBURT,AYDINTEPE
KIYMET,GÖK,M,5478281239,1931-01-21,33103922381,ZONGULDAK,GÖLBASI
ŞİR,KARA,M,5302812820,2005-06-05,18104057479,MARDIN,NUSAYBIN
HÜCCET,DOĞAN,M,5411804339,1967-10-28,30626058987,BALIKESIR,SAVASTEPE
RENGİN,UZUN,F,5316564162,2005-03-19,21040540332,TRABZON,VAKFIKEBIR
MUHAMMED,CANTÜRK,M,5562561257,2001-04-03,71794230148,ANKARA,BALA
AHİ,ARIKAN YORGUN,M,5512722484,1954-01-01,24891664860,SIRNAK,BEYTÜSSEBAP
ŞARANİ,TEPE,M,5383540859,1993-09-21,24543323163,KAYSERI,GÖLBASI
FÜSUN,YILDIRIM,F,5530303799,1980-05-10,42018211406,ANKARA,HAYMANA
FERRUH,KARPUZ,M,5486016785,1977-05-01,74735497467,SIVAS,IMRANLI
ÖZLEM,ÜNSAL,F,5491175255,1952-11-25,67194649403,ELAZIG,KOVANCILAR
SEZGİN,GÖRMELİ,M,5482739520,1955-07-21,31854409375,BATMAN,KOZLUK
GÜL,TUTAŞ,F,5518577893,1954-06-07,39302535142,MUS,HASKÖY
MİNE,TAŞKIN,F,5338682922,2020-10-11,78402361018,KIRSEHIR,MUCUR
DİLHAN,BEREKET,M,5337658484,1941-03-20,57237725255,MUGLA,BODRUM
KUMRU,ULUBA,F,5335924768,1950-08-13,20586329501,AYDIN,GERMENCIK
DÖNDÜ,ERDOĞAN,F,5432817843,1930-11-09,20120642981,AFYONKARAHISAR,EVCILER
KADEM,YILMAZ,M,5410582183,1977-04-20,69156532103,BALIKESIR,KEPSUT
EFLAH,ÇINKIR,M,5580715878,2010-08-26,81711252374,BARTIN,KURUCASILE
MELİS,AKCA ÇAĞLAR,F,5559144926,1965-05-12,80586767699,KIRSEHIR,AKPINAR
AÇELA,KANDEMİR,F,5453793655,1968-12-12,13527589980,KIRIKKALE,MERKEZ
ADİLE,YÜZBAŞIOĞLU,F,5395997599,1938-09-23,71683464808,MERSIN,ERDEMLI
HATİP,TOLA,M,5452610618,1993-04-17,40560859182,KASTAMONU,HANÖNÜ
HAYDAR,KARAGÖZ,M,5598342147,1995-08-14,65064709596,SAKARYA,ADAPAZARI
YONCA,AYIK,F,5383088705,2007-07-04,38947563870,KAHRAMANMARAS,AFSIN
KABİL,KIRBAŞ,M,5588358299,2012-12-26,17589086362,ZONGULDAK,GÖLBASI
HAKİ,KABİL KUCUR,M,5328261153,1972-02-09,10402840148,RIZE,ARDESEN
ARIN,ÇAY,F,5365305532,2013-03-30,55849711920,SINOP,TÜRKELI
MUTEBER,YERAL,M,5322338619,1931-03-07,39985712318,SANLIURFA,BIRECIK
AÇELYA,ÇEVİK,F,5495064536,1951-06-01,67817622603,AFYONKARAHISAR,MERKEZ
EYMEN,ANIK,M,5585313793,1964-03-16,88486022478,AKSARAY,ORTAKÖY
DİLAY,KORKMAZ,F,5541195415,1936-07-30,87615189059,SAKARYA,HENDEK
FATOŞ,MEMETOĞLU,F,5341119903,1936-07-30,44748250372,VAN,ÇATAK
SİYAMİ,SÜNER,M,5332900902,2002-08-15,19283653251,ANTALYA,KORKUTELI
NEVRA,TİMURTAŞ DAYAR,F,5554111030,1968-08-01,71066182661,GÜMÜSHANE,SIRAN
TUTKU,EKİZ,F,5345412629,2020-09-13,87820886631,SAKARYA,KAYNARCA
AYREN,ÖZTÜRK,F,5520384093,2015-06-16,70123789963,SAMSUN,YAKAKENT
SAFA,AYKAN,M,5441144526,1963-03-04,36499709372,BURSA,OSMANGAZI
İKRİME,YAZICI EROL,M,5501427023,2018-11-12,56911583015,HATAY,ISKENDERUN
FERİDE,ÖZÇELİK ORAL,F,5536460139,1990-06-01,65204574209,IZMIR,TORBALI
İNAYETULLAH,KARÇİN,M,5364849696,1992-06-29,43837561308,MANISA,SOMA
ULUS,ÖCALAN,F,5400896825,1945-01-07,36136889134,DENIZLI,GÖLBASI
SAMAN,TAŞKIRAN,M,5434072037,2018-10-16,70822366514,ERZURUM,PASINLER
BEDİR,AVCIOĞLU,M,5521272286,2013-11-05,58876952297,ARTVIN,BORÇKA
EYŞAN,GÜNDÜZ,F,5537339368,1995-03-10,28602844989,ANTALYA,KORKUTELI
CANDAR,İÇBAY,M,5487454921,2006-10-13,55410903669,TOKAT,NIKSAR
ALİŞİR,YILDIRIM,M,5593856093,2011-09-15,14447906459,DÜZCE,MERKEZ
MUAMMER,BAYRAKTAR,M,5349271279,1996-12-08,83908238246,IZMIR,BAYINDIR
SEVİM,ALTUN,F,5527418124,2015-09-11,62093639298,SAKARYA,FERIZLI
HURŞİD,IŞIK,M,5507602194,1997-07-04,51057143549,DIYARBAKIR,LICE
MELİS,AKCA ÇAĞLAR,F,5570303826,1944-11-02,25965451422,EDIRNE,MERKEZ
TAKİ,KARAKAYA,M,5342846113,1972-01-04,57982374683,RIZE,GÜNEYSU
AFİTAP,VURAL,F,5505560265,1993-05-03,74300597703,YOZGAT,BOGAZLIYAN
MÜNEVVER,GAZETECİ TEKİN,F,5440816207,2005-12-12,51575252913,MERSIN,TOROSLAR
HASİBİ,KEBAPCILAR,M,5376790897,1949-02-15,54979241105,KONYA,TUZLUKÇU
FARUK,AKIN,M,5440940500,1994-03-15,31177137286,ANTALYA,GÖLBASI
SEVİL,ERCAN,F,5561977039,1968-02-12,80500272743,ERZURUM,HORASAN
ESEN,TOPAL,F,5510888532,1997-06-17,50759622321,KONYA,YUNAK
ÇİLAY,ATİK,F,5539530724,1936-03-27,69593346204,ISTANBUL,ESENLER
GÖKŞİN,SEVER,F,5428061624,1948-09-13,42699768965,TEKIRDAG,MALKARA
DİCLEHAN,GÜLEN AKKÜÇÜK,F,5442563246,1947-04-27,36053265551,USAK,KARAHALLI
PİRAYE,UZUN,F,5583522811,1954-11-01,15648863935,AKSARAY,MERKEZ
NAZ,BELGEMEN,F,5589363010,2014-06-11,21981963960,DENIZLI,TAVAS
ATALAY,KOCAKAYA ALTUNDAL,M,5353168902,2005-12-08,47545185072,DÜZCE,MERKEZ
ŞADAN,TOPAK,M,5460261672,1984-05-24,38289311321,KASTAMONU,TOSYA
